word,frequency
é,1317
foi,734
%,586
disse,454
governo,410
ser,399
diz,380
está,373
presidente,360
sua,345
ano,338
milhões,325
seu,298
são,285
tem,273
foram,271
dia,267
anos,263
vai,258
deve,239
candidato,234
campanha,219
há,208
este,207
estão,206
ter,203
será,183
produção,165
país,163
ministro,161
pode,160
maior,160
afirmou,157
Editoria,156
PáGINA,155
dias,154
Estado,148
preços,148
mercado,145
projeto,142
semana,138
seus,137
É,137
animais,136
deputado,136
média,135
era,135
passado,131
pessoas,130
partido,130
preço,126
fazer,126
empresa,125
afirma,122
primeiro,121
mais,119
senador,116
empresas,115
programa,114
aumento,112
governador,111
região,110
suas,109
diretor,106
área,104
93,102
grupo,100
parte,100
plano,97
candidatura,96
final,95
dinheiro,95
cidade,95
todos,93
têm,92
trabalho,92
esse,91
essa,90
último,88
sendo,87
café,87
nova,86
passada,86
produtores,86
esta,86
primeira,86
novo,84
lei,84
safra,83
caso,83
leite,83
decisão,83
casa,83
estava,83
grande,82
número,82
mês,82
cada,81
processo,81
leilão,81
eleitoral,81
candidatos,81
seria,79
apoio,79
serão,77
política,75
raça,75
setor,74
faz,74
crianças,74
recursos,73
vez,73
feito,72
período,72
meses,72
zona,72
próximo,72
devem,72
colheita,71
inflação,71
nacional,70
quer,69
revisão,69
havia,68
forma,67
bilhões,67
países,67
todo,67
sistema,67
sido,67
seja,67
total,66
alta,66
feita,66
vão,66
proposta,66
soja,65
dar,65
produtor,65
segundo,65
dados,64
produto,64
acordo,63
outros,63
pagamento,63
noite,63
agosto,63
brasileira,62
podem,62
possível,62
prazo,62
principais,62
pesquisa,62
nome,62
eleição,62
condições,61
qualquer,60
teria,60
terá,60
pedido,60
paulista,59
maioria,59
abril,59
km,59
qualidade,59
chegou,59
mulher,59
eleito,59
produtos,58
problemas,58
equipe,58
cavalos,58
tempo,58
ficou,58
comissão,58
falta,57
terra,57
poderia,57
início,57
risco,57
dezembro,56
solo,56
Justiça,56
milhão,55
máquinas,55
secretário,55
fez,55
população,55
próprio,55
reunião,55
polícia,55
criação,54
maio,54
última,54
hectares,54
leilões,54
possibilidade,54
teve,54
Orçamento,54
toneladas,53
junho,53
aliança,53
crime,53
crescimento,52
gado,52
econômica,51
últimos,51
valor,51
criadores,51
deputados,51
principal,50
problema,50
houve,50
funcionários,50
março,49
movimento,49
outubro,49
tinha,49
Estados,49
todas,49
base,49
professor,49
escola,49
entrevista,49
propostas,49
94,48
fim,48
casos,48
trabalhadores,48
partidos,48
parlamentares,48
imprensa,48
venda,47
vendas,47
produtividade,47
corte,47
federal,47
compra,47
fazenda,47
político,47
eleições,47
deverá,46
chegar,46
estadual,46
t,46
outras,46
mostra,46
militares,46
começou,45
previsão,45
janeiro,45
obras,45
mundo,45
tipo,45
local,45
feitas,45
prevê,45
empresários,45
Sucursal,45
juros,44
redução,44
conta,44
internacional,44
centro,44
custo,44
oferta,44
origem,44
Foi,44
outro,44
segunda,43
ação,43
brasileiro,43
água,43
estar,43
sul,43
julho,43
próxima,43
idéia,43
segurança,43
prefeito,43
situação,42
econômico,42
vezes,42
melhor,42
interior,42
novembro,42
queda,42
poder,42
aprovação,42
pública,42
atual,41
plantio,41
milho,41
pesquisas,41
conseguiu,41
família,41
operação,41
direito,41
carne,40
novos,40
novas,40
brasileiros,40
consumo,40
ex-presidente,40
salários,40
turno,40
vice,40
vem,39
poderá,39
resultado,39
alguns,39
lado,39
ficar,39
domingo,39
julgamento,39
saiu,39
estavam,39
segunda-feira,39
encontro,39
uso,38
técnicos,38
regiões,38
grandes,38
Este,38
especial,38
sábado,38
objetivo,38
momento,38
constitucional,38
fevereiro,37
agricultores,37
aumentar,37
mínimo,37
desenvolvimento,37
vida,37
preciso,37
quilos,37
bancos,37
data,37
agrícolas,36
tenha,36
culturas,36
época,36
líder,36
próximos,36
toda,36
impostos,36
indústria,36
participação,36
ovos,36
entrar,36
presidencial,36
votos,36
contas,36
chuvas,35
Há,35
delegado,35
avaliação,35
juiz,35
vários,35
importante,35
recebeu,35
horas,35
cargo,35
defesa,35
pessoa,35
eleitorais,35
políticos,35
petista,35
hospital,35
começa,34
passou,34
norte,34
nelore,34
dizer,34
pretende,34
nível,34
ex-governador,34
tarde,34
tentar,34
gastos,34
participar,34
doença,34
mesmo,34
greve,34
prisão,34
for,33
máquina,33
estudo,33
eram,33
sexta-feira,33
futuro,33
setembro,33
ver,33
imagem,33
social,33
carro,33
emenda,33
voto,33
agricultura,32
financiamento,32
evitar,32
esses,32
texto,32
manter,32
entidade,32
oficial,32
exposição,32
de,32
pontos,32
1993,32
preocupação,32
questão,32
general,32
assessor,32
porto,32
tucano,32
tucanos,32
homens,32
Reportagem,32
Local,32
lavouras,31
correção,31
causa,31
acredita,31
controle,31
municípios,31
fica,31
existe,31
homem,31
São,31
provas,31
público,31
realizada,31
morte,31
deixar,31
decidiu,31
dívida,31
estaduais,31
lançamento,30
locais,30
arroz,30
realizado,30
vendeu,30
essas,30
nomes,30
espera,30
espaço,30
consumidor,30
moeda,30
sacas,30
fosse,30
abertura,30
volta,30
filho,30
perdas,30
ficaram,30
verbas,30
informações,30
própria,30
fazem,30
TV,30
coisa,30
administração,30
lista,30
rua,30
crédito,29
rural,29
chefe,29
entrada,29
92,29
continuar,29
menor,29
equipamentos,29
concorrência,29
educação,29
fase,29
campo,29
capital,29
valores,29
Foram,29
ordem,29
renda,29
disputa,29
jornal,29
pediu,29
saber,29
votação,29
carga,29
debate,29
alunos,29
órgão,28
advogado,28
reserva,28
grãos,28
linha,28
gerente,28
hora,28
estes,28
responsabilidade,28
bom,28
boa,28
Outro,28
evento,28
oeste,28
ocorreu,28
deu,28
ponto,28
dá,28
geral,28
opinião,28
eleitores,28
coligação,28
policiais,28
assessoria,28
trigo,27
quadro,27
1992,27
nenhum,27
maiores,27
áreas,27
capacidade,27
lugar,27
escolas,27
animal,27
receber,27
discutir,27
empresário,27
tendência,27
alimentos,27
medidas,27
pessoal,27
representantes,27
serem,27
mesma,27
emendas,27
governadores,27
declarações,27
Aids,27
único,26
prática,26
sucesso,26
outra,26
várias,26
responsável,26
metros,26
real,26
primeiros,26
hectare,26
mão,26
saúde,26
artigo,26
Constituição,26
relator,26
ações,26
papel,26
irregularidades,26
chapa,26
mulheres,26
informou,26
agrícola,25
serviço,25
suficiente,25
ha,25
combate,25
equivalente,25
alto,25
deixou,25
velocidade,25
números,25
baixa,25
definição,25
estado,25
contrário,25
criador,25
intenção,25
economia,25
comprar,25
disputar,25
clima,25
terão,25
comando,25
depoimento,25
federais,25
volume,24
demanda,24
pesquisador,24
negócios,24
operações,24
irrigação,24
relatório,24
necessidade,24
significa,24
coordenador,24
chega,24
cavalo,24
URVs,24
acontece,24
telefone,24
obteve,24
lucro,24
informação,24
presença,24
indústrias,24
estratégia,24
entidades,24
médio,24
falar,24
obra,24
setores,24
seriam,24
quinta-feira,24
armas,24
médicos,24
convênio,24
sair,24
militar,24
Sr.,24
recebido,24
licitação,24
ônibus,24
fato,23
cultura,23
dizem,23
continua,23
quarta-feira,23
vice-presidente,23
tecnologia,23
pesquisadores,23
meio,23
convenção,23
internacionais,23
previsto,23
responsáveis,23
cidades,23
levar,23
atenção,23
URV,23
levou,23
relação,23
medida,23
custos,23
levantamento,23
acha,23
obter,23
mostrar,23
acabou,23
trabalhar,23
rede,23
expectativa,23
gente,23
reposição,23
negociações,23
carros,23
paga,23
algum,23
chamado,23
cúpula,23
apoiar,23
direção,23
pai,23
líderes,23
bairro,23
horário,23
esquema,23
acusado,23
frente,22
garantir,22
agricultor,22
história,22
certo,22
algodão,22
sementes,22
resultados,22
considerado,22
perda,22
orçamento,22
exemplo,22
raças,22
pregão,22
andaluz,22
forte,22
organizadores,22
reduzir,22
salário,22
seguinte,22
troca,22
1º,22
projetos,22
corpo,22
central,22
comum,22
críticas,22
instalação,22
esquerda,22
reportagem,22
câncer,22
denúncia,22
minha,22
crimes,22
aulas,22
tributária,21
unidades,21
formação,21
natural,21
diferentes,21
sangue,21
parque,21
atuação,21
algumas,21
alguma,21
tinham,21
Outra,21
criar,21
dois,21
edição,21
privatização,21
sociedade,21
nosso,21
liberação,21
banco,21
passa,21
grupos,21
sem,21
série,21
declarou,21
Sua,21
89,21
pago,21
difícil,21
pedir,21
parlamentar,21
prefeitura,21
preso,21
tentativa,21
almoço,21
estaria,21
reforma,21
ruas,21
vírus,21
reajuste,21
acusados,21
terras,20
doenças,20
associação,20
95,20
semanas,20
últimas,20
mundial,20
querem,20
rio,20
anterior,20
filhos,20
opção,20
realização,20
fêmeas,20
geadas,20
subir,20
sentido,20
feitos,20
saca,20
semestre,20
Esta,20
árabe,20
sejam,20
pagar,20
públicos,20
realizar,20
pequenos,20
poderão,20
documentos,20
taxa,20
voltou,20
dificuldades,20
mãe,20
presos,20
eventual,20
alianças,20
corrupção,20
tenho,20
queria,20
empreiteiras,20
negou,20
votar,20
sessão,20
investigações,20
superior,19
atividades,19
nacionais,19
Esse,19
pecuaristas,19
assistência,19
técnica,19
tratamento,19
explica,19
usado,19
ato,19
presentes,19
a,19
normal,19
conversão,19
caiu,19
passo,19
investimento,19
novela,19
membros,19
tel,19
tiveram,19
revista,19
aquele,19
campanhas,19
estudos,19
implantação,19
serviços,19
empregos,19
simples,19
idade,19
passagem,19
proteção,19
encontrar,19
desempenho,19
amigo,19
tema,19
ex-ministro,19
políticas,19
acesso,19
bancada,19
teriam,19
assunto,19
distribuição,19
nenhuma,19
sucessão,19
função,19
vê,19
inquérito,19
investigação,19
demissão,19
modelo,18
Essa,18
alíquotas,18
feijão,18
exportações,18
busca,18
necessário,18
comercial,18
erosão,18
depende,18
programas,18
jogo,18
considerada,18
quantidade,18
leva,18
remate,18
faturamento,18
usada,18
negócio,18
considera,18
pressão,18
negociação,18
saída,18
tomar,18
bilhão,18
pista,18
quarto,18
muitas,18
existência,18
receita,18
avalia,18
autor,18
médico,18
pais,18
ir,18
rodovia,18
ganhar,18
televisão,18
jornais,18
1994,18
construção,18
peças,18
economista,18
interesse,18
processos,18
filha,18
Vamos,18
teme,18
agências,18
denúncias,18
usar,18
assessores,18
pefelistas,18
contribuição,18
amigos,18
índios,18
recurso,18
cassação,18
pede,18
nota,18
trânsito,18
pena,18
estabilização,17
declaração,17
interno,17
técnico,17
governos,17
grave,17
pecuarista,17
melhores,17
plantas,17
diferença,17
índice,17
verba,17
tipos,17
começar,17
melhorar,17
Dia,17
procura,17
oficiais,17
cotação,17
compradores,17
mensais,17
haverá,17
atividade,17
dono,17
trabalhos,17
aconteceu,17
defende,17
agenda,17
títulos,17
insumos,17
1989,17
despesas,17
haver,17
pequenas,17
prevista,17
análise,17
motivos,17
exterior,17
financeiras,17
imagens,17
contratos,17
comitê,17
estação,17
atraso,17
benefícios,17
conclusão,17
imposto,17
manutenção,17
visita,17
estatal,17
assembléia,17
bônus,17
defendeu,17
carta,17
loja,17
recorde,16
frango,16
palanque,16
legislação,16
fiscal,16
rurais,16
entrega,16
aplicação,16
indica,16
inicial,16
demais,16
consequência,16
representa,16
vender,16
estamos,16
cresceu,16
plantada,16
cooperativa,16
comercialização,16
fiscalização,16
muita,16
veja,16
seca,16
classe,16
cruzamento,16
experiência,16
Tem,16
quebra,16
haras,16
Será,16
celular,16
presidência,16
trabalhando,16
negociar,16
vista,16
possui,16
transformar,16
inglês,16
chance,16
etapa,16
década,16
transporte,16
cooperativas,16
escritório,16
estará,16
município,16
porte,16
precisa,16
perdeu,16
material,16
máximo,16
vou,16
sei,16
documento,16
voltar,16
curso,16
fazendo,16
atendimento,16
madrugada,16
laranja,16
analisar,16
relações,16
muitos,16
gasto,16
chances,16
terceira,16
rádio,16
dizendo,16
eleitorado,16
poderiam,16
discurso,16
judicial,16
suicídio,16
lideranças,16
motorista,16
viagem,15
alerta,15
criou,15
arrecadação,15
oferece,15
hídrica,15
inverno,15
realizados,15
favorável,15
lembra,15
industrial,15
pastagens,15
disposição,15
maneira,15
quilômetros,15
colocar,15
Pode,15
deixa,15
mapa,15
características,15
direto,15
limousin,15
feira,15
paulistas,15
promotor,15
vaca,15
anunciou,15
temporada,15
regime,15
estas,15
altas,15
baixo,15
registrou,15
identificar,15
ficará,15
existem,15
adolescentes,15
criada,15
século,15
aliados,15
permite,15
livro,15
traz,15
regional,15
irá,15
conhecimento,15
91,15
vantagem,15
colher,15
reuniões,15
alternativa,15
verdade,15
parecer,15
fábrica,15
apresentar,15
concessão,15
utilizada,15
1995,15
diversos,15
fala,15
margem,15
externa,15
domingos,15
título,15
assumir,15
vitória,15
Candidato,15
gabinete,15
preocupado,15
Acho,15
meu,15
República,15
envolvidos,15
procurador,15
portos,15
órgãos,15
acusação,15
bens,15
ilegal,15
doações,15
moradores,15
investiga,15
mortos,15
leitor,15
acidente,15
importação,14
reformas,14
revelou,14
modernização,14
treinamento,14
parcela,14
dando,14
claro,14
discussão,14
deveria,14
noroeste,14
lavoura,14
vacas,14
conhecido,14
pagos,14
importantes,14
posse,14
sede,14
única,14
peso,14
financeira,14
novidades,14
casas,14
consumidores,14
pequeno,14
mostrou,14
altos,14
festa,14
estiveram,14
terceiro,14
iniciativa,14
marca,14
exportação,14
fome,14
aquela,14
propriedade,14
vale,14
dívidas,14
seleção,14
americana,14
.,14
ajudar,14
atuais,14
encontrado,14
permitir,14
gaúcho,14
sindicatos,14
Página,14
férias,14
fortes,14
crise,14
computador,14
lançado,14
motivo,14
sala,14
esteve,14
provável,14
influência,14
organizado,14
comunicação,14
peemedebistas,14
quercista,14
aceitar,14
manhã,14
confirmou,14
ministério,14
salarial,14
contribuições,14
quis,14
enviou,14
disseram,14
quadrilha,14
caravanas,14
ex-prefeito,14
desertificação,13
garante,13
metade,13
imóveis,13
agrotóxicos,13
reúne,13
estima,13
tratores,13
colheitadeiras,13
igual,13
prêmio,13
chegaram,13
popular,13
revela,13
caro,13
fechado,13
ganha,13
aprovada,13
olhos,13
bovinos,13
cabeças,13
Houve,13
marcada,13
puro-sangue,13
deverão,13
ganhou,13
entrou,13
fazendas,13
importações,13
sindicato,13
pagamentos,13
temos,13
mangalarga,13
crescer,13
produzir,13
holandês,13
regras,13
estradas,13
elétrica,13
grão,13
executivo,13
recebe,13
responder,13
dado,13
coisas,13
temas,13
consequências,13
parece,13
Cada,13
obtido,13
estilo,13
perder,13
cria,13
geração,13
altura,13
falou,13
resposta,13
sofreu,13
Estamos,13
amendoim,13
esperar,13
Está,13
mudar,13
possuem,13
pequena,13
afirmam,13
trabalham,13
mão-de-obra,13
termos,13
perspectiva,13
custa,13
seminário,13
brasileiras,13
admite,13
remuneração,13
indicam,13
terça-feira,13
pés,13
corrida,13
satélite,13
caixas,13
entregue,13
esforço,13
conseguir,13
sabe,13
sociais,13
gás,13
empréstimos,13
candidaturas,13
Seu,13
senhor,13
sou,13
casal,13
pergunta,13
civil,13
petistas,13
envolvimento,13
percentuais,13
mandato,13
servidores,13
petroleiros,13
participaram,13
definido,13
mandou,13
abuso,13
minutos,13
morreu,13
funcionário,13
leitores,13
HIV,13
infectadas,13
menopausa,13
estrógeno,13
solos,12
mensal,12
proprietários,12
jornalista,12
cana,12
colheitadeira,12
garantia,12
ocorrer,12
considerou,12
fazendeiros,12
comércio,12
conversa,12
buscar,12
efeitos,12
solução,12
técnicas,12
frutas,12
fundo,12
chão,12
tradicional,12
elite,12
acompanhado,12
versão,12
completa,12
entressafra,12
ar,12
elevar,12
vendido,12
tenta,12
organização,12
categoria,12
promove,12
jornalistas,12
preparar,12
publicado,12
ficam,12
colocou,12
crescente,12
acusações,12
mãos,12
tamanho,12
perfil,12
abrir,12
vendidos,12
abastecimento,12
formado,12
atingir,12
grau,12
adultos,12
fonte,12
cafeeiro,12
impacto,12
pé,12
menos,12
1991,12
renovação,12
sai,12
contato,12
indicação,12
ministros,12
acontecer,12
ganho,12
apresentou,12
financeiro,12
alternativas,12
compras,12
acabar,12
possa,12
resto,12
obtidos,12
ajuda,12
doação,12
aberta,12
acreditar,12
vencer,12
palavra,12
espécie,12
certeza,12
quinta,12
reação,12
convencer,12
elaboração,12
secretário-geral,12
fizeram,12
cerimônia,12
povo,12
pedindo,12
tortura,12
bicheiros,12
argumento,12
propinas,12
cabos,12
Disse,12
bairros,12
aposentadorias,12
advogados,12
erro,12
tivesse,12
eleitos,12
viagens,12
civis,12
fará,12
drogas,12
convocação,12
tráfico,12
presídio,12
cartas,12
irmão,12
marido,12
menino,12
prédio,12
metalúrgicos,12
estudante,12
eclipse,12
disponibilidade,11
registrado,11
aprovou,11
investimentos,11
propriedades,11
necessária,11
pragas,11
pecuária,11
expansão,11
veio,11
ocorre,11
cobertura,11
ambiente,11
apresenta,11
haveria,11
julgamentos,11
importados,11
lotes,11
espanhol,11
parcelas,11
básico,11
português,11
estarão,11
retorno,11
emprego,11
vende,11
mineiro,11
passar,11
ganhos,11
prazos,11
sócio,11
efeito,11
planos,11
aumentos,11
vamos,11
continuidade,11
tradicionais,11
diretoria,11
prova,11
reuniu,11
milha,11
Tel,11
simental,11
promoção,11
14,11
profissionais,11
exige,11
tecnológica,11
terreno,11
energia,11
cozinha,11
patrimônio,11
mantém,11
estoques,11
razão,11
destaque,11
subsídios,11
frase,11
sozinho,11
estimado,11
trocar,11
fator,11
exemplares,11
machos,11
obtida,11
