word,frequency
diminuir,11
limpeza,11
profissional,11
desperdício,11
aves,11
trabalha,11
financiar,11
bancária,11
cliente,11
reais,11
iniciou,11
certa,11
afirmação,11
açúcar,11
litro,11
supermercados,11
intervenção,11
fugir,11
dada,11
houver,11
visão,11
comportamento,11
colocado,11
instituições,11
instituto,11
transferência,11
aspecto,11
genético,11
contrato,11
morto,11
estiagem,11
estrangeiros,11
mudanças,11
Temos,11
hipótese,11
faixas,11
propaganda,11
níveis,11
dupla,11
prestações,11
enfrentar,11
interna,11
escolha,11
colegas,11
dizia,11
tentou,11
ponte,11
faria,11
adversários,11
bicho,11
propor,11
Fazenda,11
aprovado,11
terminou,11
movimentação,11
trabalhador,11
vagas,11
oposição,11
iria,11
liminar,11
haviam,11
integrantes,11
tirar,11
apurar,11
fraudes,11
suspeitos,11
gene,11
morrer,11
aprovar,11
penal,11
terem,11
condenado,11
teste,11
seguranças,11
atinge,10
tornou,10
pacote,10
entra,10
opções,10
cresce,10
vendidas,10
controlar,10
variedades,10
tomou,10
poucos,10
jovens,10
ligado,10
cálculos,10
divulgar,10
necessários,10
práticas,10
prejuízo,10
causas,10
escolhido,10
variação,10
planta,10
plantar,10
provoca,10
europeu,10
médios,10
cotações,10
abre,10
plantel,10
exposições,10
caráter,10
tempos,10
questões,10
participa,10
frigoríficos,10
quilo,10
mostram,10
boas,10
afirmar,10
fatores,10
tendo,10
colesterol,10
provar,10
custeio,10
mudança,10
criado,10
conseguiram,10
aponta,10
promovido,10
aposta,10
realizadas,10
federação,10
produz,10
marcado,10
12,10
Informações,10
inclui,10
recebem,10
especialistas,10
utilizado,10
receitas,10
subiu,10
reservas,10
exceção,10
norte-americano,10
engenharia,10
famílias,10
condição,10
éguas,10
rebanho,10
muito,10
natureza,10
produzido,10
atitude,10
aumenta,10
novidade,10
tarifas,10
parentes,10
caminhão,10
atrair,10
alterações,10
livre,10
completo,10
gratuito,10
Outros,10
tenham,10
presente,10
combater,10
Mais,10
concluiu,10
divulgado,10
recente,10
preocupa,10
curto,10
cair,10
mal,10
concurso,10
matar,10
carentes,10
vir,10
queijo,10
convidados,10
prestação,10
Essas,10
apontam,10
tal,10
reduzido,10
aparelho,10
caixa,10
positivo,10
anúncio,10
decidir,10
aberto,10
perguntou,10
respondeu,10
meios,10
virtual,10
sociólogo,10
direita,10
embaixador,10
transação,10
registro,10
dito,10
vítima,10
circulação,10
institucional,10
bi,10
soldados,10
cheque,10
citou,10
disposto,10
referência,10
favela,10
notas,10
fiscais,10
fim-de-semana,10
adversário,10
hormônio,10
investigar,10
direitos,10
presidentes,10
parar,10
candidatar,10
inclusão,10
aluno,10
determinou,10
edital,10
estudantes,10
demissões,10
páginas,10
diretora,10
lojas,10
crítica,9
capaz,9
1990,9
estrutura,9
monetária,9
cumprir,9
sequeiro,9
chuva,9
inferior,9
comparação,9
comprou,9
corresponde,9
investir,9
encontrada,9
praga,9
ideal,9
dão,9
enorme,9
ocupação,9
gordura,9
provocar,9
formas,9
universidade,9
utilização,9
recuperação,9
ambiental,9
palavras,9
definir,9
perde,9
Grande,9
brahma,9
promoveu,9
3º,9
equinos,9
prêmios,9
cabeça,9
planejamento,9
ampliação,9
meta,9
preferência,9
óleo,9
informa,9
interessados,9
programação,9
3ª,9
apresentado,9
apresentação,9
pagam,9
italiana,9
Todos,9
acrescenta,9
chamada,9
complexo,9
convite,9
repetir,9
fracasso,9
tese,9
bons,9
determina,9
visa,9
atingiu,9
Qualquer,9
criança,9
lançar,9
acompanhar,9
molinete,9
equilíbrio,9
tiros,9
placas,9
observação,9
retirar,9
massa,9
frias,9
diária,9
funcionamento,9
externo,9
estabilidade,9
habitantes,9
pauta,9
tornar,9
estatais,9
derrotado,9
parceria,9
notícia,9
gestão,9
oportunidade,9
pagando,9
usados,9
praça,9
mesa,9
suco,9
vésperas,9
passaram,9
conhecer,9
gosta,9
usadas,9
alimento,9
visto,9
graves,9
iniciar,9
menores,9
radicais,9
alteração,9
atender,9
veículos,9
montar,9
dúvida,9
tributos,9
derivados,9
regionais,9
nasceu,9
abriu,9
caminho,9
direta,9
democracia,9
vídeo,9
aparece,9
especiais,9
sintomas,9
fraude,9
promotores,9
importância,9
explicação,9
sugere,9
semelhantes,9
prefeitos,9
tom,9
senadores,9
tucana,9
substituir,9
acho,9
representação,9
aceita,9
publicada,9
particular,9
administrador,9
bicheiro,9
música,9
força,9
cientistas,9
pele,9
deveriam,9
morreram,9
empreiteira,9
fatos,9
sabia,9
legal,9
comício,9
desemprego,9
acaba,9
brincadeira,9
apuração,9
ruim,9
vontade,9
polícias,9
apurou,9
diretores,9
apreendidos,9
filiado,9
nega,9
reeleição,9
morro,9
massacre,9
visitou,9
depoimentos,9
vítimas,9
estariam,9
humanos,9
Executiva,9
autorização,9
criticou,9
forem,9
conjunto,9
demitido,9
suspeita,9
tratar,9
Educação,9
barba,9
orbital,9
turistas,9
porcos,9
colégio,9
ossos,9
Governo,9
motoristas,9
melhoria,8
alíquota,8
Agricultura,8
participou,8
passando,8
jurídica,8
ofício,8
proprietário,8
cartório,8
plantios,8
preparo,8
atingido,8
litros,8
podia,8
assinado,8
índices,8
projeção,8
provocada,8
boi,8
pobres,8
ricos,8
produtiva,8
pouca,8
levando,8
coloca,8
comuns,8
começam,8
sediada,8
esperado,8
Estão,8
17,8
3,8
Leilão,8
infra-estrutura,8
mercados,8
páreos,8
Vai,8
frigorífico,8
churrascaria,8
nossas,8
calcula,8
consegue,8
taxas,8
produzidos,8
canola,8
cenário,8
registrados,8
adquirir,8
confiança,8
corridas,8
bolsa,8
anteriores,8
médias,8
juízes,8
próximas,8
irmãos,8
importadas,8
doses,8
sêmen,8
gaúchos,8
passam,8
ocupar,8
privada,8
anuais,8
concorrer,8
composição,8
italiano,8
operacional,8
previsões,8
campos,8
publicação,8
constante,8
cuidado,8
engenheiro,8
agrônomo,8
fazendeiro,8
partes,8
kg,8
estimativa,8
velho,8
86,8
Nacional,8
balanço,8
90,8
av,8
verificar,8
possíveis,8
armação,8
cm,8
união,8
iniciada,8
próprios,8
mínima,8
conceito,8
escassez,8
posso,8
provocaram,8
ligadas,8
entregar,8
esperava,8
observar,8
explicar,8
fórmula,8
enviadas,8
levaram,8
fornecimento,8
funções,8
nossa,8
começaram,8
particulares,8
substituição,8
caderno,8
divulgação,8
longa,8
escolar,8
mínimos,8
continuam,8
refere,8
liderança,8
apresentados,8
diversas,8
físicas,8
Seria,8
salvar,8
ramo,8
sofrer,8
convencional,8
bar,8
estoque,8
enfrenta,8
Serão,8
colocados,8
compromisso,8
recentes,8
instalado,8
25,8
casamento,8
atacado,8
semelhante,8
ovo,8
leiteiro,8
autoridades,8
primário,8
moral,8
entregues,8
promete,8
localizado,8
lançou,8
incluir,8
apresentaram,8
protocolo,8
telefones,8
alvo,8
positiva,8
aborto,8
2º,8
tentam,8
peemedebista,8
conversar,8
confronto,8
articulação,8
telefonou,8
costas,8
prometeu,8
procurou,8
quero,8
eleitor,8
atos,8
turnos,8
coletiva,8
usou,8
ex-diretor,8
coelhos,8
conceder,8
entrevistas,8
respeito,8
igreja,8
apartamento,8
negar,8
representante,8
recorrer,8
considerados,8
superávit,8
explicações,8
indícios,8
médica,8
públicas,8
foto,8
leste,8
intenções,8
militantes,8
entender,8
empréstimo,8
repasse,8
quadros,8
estudar,8
recolhimento,8
idéias,8
cheques,8
prioridades,8
hospitais,8
comandante,8
porta-voz,8
secretaria,8
tribunal,8
gráfica,8
mortes,8
roupa,8
Redação,8
policial,8
cocaína,8
justa,8
fotos,8
percentual,8
indexador,8
ligações,8
sindical,8
fundação,8
cigarros,8
professores,8
pedidos,8
investigado,8
secretária,8
receberá,8
científica,8
Saúde,8
afastar,8
manda,8
sexual,8
revisor,8
leis,8
salariais,8
meus,8
PSDB-,8
padre,8
fita,8
reações,8
andar,8
absolvição,8
excessos,8
Operação,8
entraram,8
espacial,8
sueco,8
vigilância,8
hormônios,8
rei,8
túneis,8
degradação,7
padrão,7
aquisitivo,7
anunciado,7
fabricação,7
conteúdo,7
nº,7
tabela,7
plena,7
membro,7
fria,7
trimestre,7
costuma,7
aumentou,7
clientes,7
ritmo,7
vinha,7
mandioca,7
canaviais,7
litoral,7
conjunta,7
metro,7
apresentam,7
segmento,7
décadas,7
juntos,7
produtivo,7
manejo,7
vivem,7
quadrados,7
modelos,7
acabam,7
financeiros,7
determinar,7
poucas,7
potencial,7
do,7
naturais,7
rios,7
pregões,7
publicitário,7
leia,7
garanhões,7
encerramento,7
fabricantes,7
individual,7
bovina,7
preferiu,7
comprada,7
produzindo,7
vendedores,7
arroba,7
optar,7
ouvidos,7
importado,7
entende,7
lucros,7
períodos,7
Estes,7
comercializados,7
desenvolvido,7
riscos,7
estuda,7
fornecedores,7
15,7
geada,7
lançada,7
pensa,7
sistemas,7
empresarial,7
farelo,7
surgiu,7
produtoras,7
venceu,7
associados,7
puros,7
adoção,7
garanhão,7
potros,7
negociados,7
tradição,7
fundamental,7
rendimento,7
4º,7
macho,7
eventos,7
deram,7
disputam,7
primeiras,7
puras,7
condução,7
diminuição,7
ocorreram,7
ajuste,7
lugares,7
febre,7
abandonar,7
revolução,7
explosão,7
negativa,7
provocado,7
modo,7
posição,7
ex-secretário,7
85,7
distribuídos,7
águas,7
cesta,7
colaboram,7
nossos,7
disponível,7
exclusiva,7
destinada,7
puderam,7
lidera,7
durou,7
umidade,7
barra,7
2,7
encontros,7
ausência,7
caça,7
extensão,7
recolher,7
fábricas,7
conhece,7
causar,7
procuram,7
diferente,7
tomada,7
perspectivas,7
dobro,7
introdução,7
previstos,7
divulgados,7
Nossa,7
agência,7
interino,7
investidores,7
dificuldade,7
incluindo,7
resolver,7
esperança,7
provisória,7
realidade,7
utilizar,7
acompanhamento,7
briga,7
pudesse,7
permitiu,7
planilha,7
acreditam,7
queremos,7
reflexo,7
aniversário,7
fazia,7
fantasma,7
regra,7
sinais,7
pouco,7
estados,7
choque,7
método,7
mudas,7
retirada,7
cortes,7
baixos,7
sobe,7
bola,7
posições,7
preparado,7
retenção,7
exercício,7
desenvolvidos,7
argumentos,7
divulgada,7
satélites,7
laboratório,7
receberam,7
deixaram,7
atribui,7
criando,7
aluguel,7
postos,7
nativa,7
termina,7
genética,7
associado,7
esteja,7
cautela,7
fornecer,7
atendidos,7
congresso,7
saíram,7
medicamentos,7
propôs,7
registrada,7
dividir,7
cobrança,7
fixa,7
econômicas,7
resistência,7
europeus,7
aproveitou,7
tantos,7
pagou,7
ave,7
coluna,7
circular,7
impedir,7
flores,7
mineira,7
déficit,7
correr,7
contar,7
filiados,7
transmissão,7
ligada,7
mamas,7
aumentam,7
física,7
acabaram,7
bases,7
assistir,7
prévia,7
apóia,7
derrota,7
tratado,7
caravana,7
confirmar,7
sindicalista,7
concedida,7
feriado,7
endereço,7
legenda,7
conversas,7
dirigentes,7
quiser,7
distribuiu,7
haja,7
adolescente,7
coordenadores,7
administrativa,7
sugeriu,7
fixar,7
sindicalistas,7
estabelece,7
evitou,7
resolveu,7
Quer,7
pedetista,7
tirou,7
manifestação,7
comentar,7
econômicos,7
coordenação,7
suspensão,7
licitações,7
apelido,7
cientista,7
infectados,7
pretendia,7
repórter,7
exame,7
plenário,7
calendários,7
temor,7
acusada,7
três,7
feridos,7
votado,7
cadernos,7
deputada,7
original,7
aldeia,7
anões,7
mandado,7
Carnaval,7
encaminhou,7
proibição,7
Plano,7
consideradas,7
palestra,7
radicalismo,7
municipais,7
missão,7
som,7
teoria,7
votações,7
irregulares,7
perguntas,7
Programa,7
depor,7
contratações,7
julgado,7
comentou,7
fila,7
procurado,7
resolução,7
privatizações,7
peixes,7
tranquilo,7
decidiram,7
pacientes,7
morrem,7
sexta,7
Tiroteio,7
r,7
ministra,7
ficarão,7
rapazes,7
avenida,7
contras,7
foguete,7
bloco,7
porta,7
protesto,7
selos,7
fuga,7
pintos,6
destaca,6
competitividade,6
massas,6
extinção,6
cópia,6
lança,6
multa,6
fechou,6
manteve,6
suplementar,6
trator,6
cresceram,6
equipamento,6
Suas,6
estimativas,6
veneno,6
sabem,6
plantações,6
conseguem,6
fronteiras,6
Esses,6
exigem,6
rústico,6
cultivo,6
procedimentos,6
concorda,6
crescendo,6
conferência,6
formada,6
suficientes,6
sujeito,6
abastecer,6
rápido,6
1ª,6
chegada,6
promotora,6
calendário,6
equinas,6
adquirida,6
investiu,6
comprador,6
seguintes,6
carioca,6
trata,6
appaloosa,6
negociada,6
melhora,6
confinamento,6
Alguns,6
excelente,6
cambial,6
baixar,6
superintendente,6
restaurante,6
inviável,6
repassar,6
tais,6
baratas,6
credibilidade,6
vendendo,6
bovino,6
encerrada,6
esporte,6
incentivar,6
prontos,6
amplo,6
causou,6
defender,6
campeão,6
montado,6
holandesas,6
recuperar,6
compõem,6
clube,6
compensação,6
reunir,6
incluída,6
organizar,6
critérios,6
render,6
consultor,6
premiados,6
avaliar,6
instrumento,6
livros,6
vendida,6
recebidos,6
contexto,6
chama,6
debates,6
relativas,6
preocupante,6
cabe,6
agroindústria,6
armazém,6
agroindustrial,6
funcionar,6
ligados,6
sacos,6
departamento,6
lembrar,6
Parte,6
levam,6
acompanhou,6
define,6
Po,6
embriões,6
ocorrência,6
danos,6
mecânicos,6
recomenda,6
acertar,6
capacitação,6
perdendo,6
construir,6
populares,6
m,6
ensino,6
plataforma,6
território,6
proteger,6
desgaste,6
passos,6
plantados,6
Existe,6
enviar,6
precoces,6
impediu,6
obrigado,6
apareceu,6
ouviu,6
usina,6
restante,6
internas,6
cobrir,6
depender,6
evolução,6
incluem,6
analisa,6
cópias,6
documentação,6
1985,6
1986,6
integração,6
paraguaia,6
brasiguaios,6
visitar,6
agentes,6
caminhões,6
seguir,6
justiça,6
muda,6
jeito,6
encontra,6
registradas,6
avanço,6
proporcional,6
constatou,6
adotar,6
prejuízos,6
possam,6
impedido,6
assumiu,6
cana-de-açúcar,6
futuros,6
feijoada,6
padarias,6
prejudicar,6
comprometer,6
bandeira,6
compensar,6
trazer,6
razões,6
aplicações,6
leiteira,6
trajeto,6
custam,6
estrada,6
braço,6
depósitos,6
Líder,6
lote,6
utiliza,6
reduz,6
remoto,6
delegação,6
constatação,6
detalhe,6
fácil,6
varia,6
permitem,6
divisão,6
viabilizar,6
quatro,6
apresentada,6
margens,6
fechar,6
Queremos,6
peça,6
definida,6
trará,6
tampão,6
pensando,6
encontrados,6
fomento,6
sorteio,6
suíço,6
característica,6
correntes,6
tarefa,6
sequência,6
exportar,6
deixado,6
provocou,6
abertas,6
mestiços,6
festas,6
permanecer,6
Classy,6
desenvolver,6
divulgou,6
publicidade,6
pressões,6
concentra,6
municipal,6
reservado,6
coberturas,6
comprado,6
existente,6
PIB,6
houvesse,6
mexicano,6
pólo,6
objetivos,6
aeroporto,6
telefonia,6
mensagem,6
estejam,6
flagrante,6
aplicar,6
boate,6
enviada,6
não,6
baiano,6
jantar,6
aceitação,6
reportagens,6
acordos,6
conflito,6
prévias,6
manifestações,6
desembarque,6
fiéis,6
vaga,6
sustenta,6
apelo,6
terça,6
acontecerá,6
cargos,6
trechos,6
entendimento,6
Quero,6
cidadão,6
pensar,6
dúvidas,6
contatos,6
subindo,6
aceitou,6
escreveu,6
afirmava,6
21,6
ministérios,6
morar,6
impossível,6
missa,6
Leia,6
trecho,6
chamar,6
conselho,6
elogios,6
contratar,6
relacionamento,6
Transportes,6
coordenador-geral,6
descobriu,6
usa,6
cumpriu,6
mandatos,6
participado,6
estrelas,6
opiniões,6
juíza,6
Administração,6
mora,6
indexação,6
adotadas,6
contribuintes,6
funciona,6
favelas,6
eficácia,6
autoridade,6
específica,6
tentavam,6
8,6
racha,6
afirmando,6
violência,6
língua,6
acusa,6
futebol,6
permanente,6
serve,6
droga,6
al,6
obesidade,6
defeito,6
múmia,6
correta,6
subvenções,6
subcomissão,6
bancário,6
abandonado,6
escrever,6
morais,6
dotações,6
partidárias,6
fixas,6
conversou,6
alegação,6
proibir,6
concorrências,6
Estava,6
personagem,6
convocar,6
má,6
providências,6
decreto,6
previstas,6
quantia,6
benefício,6
despejo,6
matéria,6
sindicância,6
básica,6
Pesquisas,6
mortalidade,6
órbita,6
computadores,6
Colaborou,6
achar,6
histórico,6
negros,6
coordenadora,6
meninos,6
luta,6
rejeitar,6
acionistas,6
completou,6
substituto,6
aldeias,6
radical,6
Série,6
papelão,6
pobre,6
condenados,6
terço,6
internada,6
russa,6
namoro,6
urnas,6
vagina,6
gangue,6
Câmara,6
orgias,6
tias,6
prisões,6
endométrio,6
orfanato,6
inseminação,6
otimista,5
estimular,5
atacando,5
Exemplo,5
competência,5
editada,5
cadastro,5
embrião,5
devia,5
disponíveis,5
acrescentou,5
registrar,5
elevada,5
favorecidas,5
aguardar,5
safrinha,5
nordeste,5
temperaturas,5
ciclo,5
longo,5
combinação,5
comercializadas,5
anual,5
safras,5
ataca,5
atingindo,5
milhares,5
semente,5
cultural,5
comercializar,5
invadiu,5
navios,5
afetadas,5
diagnóstico,5
densidade,5
eficaz,5
estudam,5
vegetal,5
adequado,5
mudaram,5
fenômeno,5
afeta,5
linhas,5
estiver,5
escala,5
precisar,5
Levantamento,5
divisa,5
pronto,5
fértil,5
formar,5
lavagem,5
tornam,5
chamados,5
segura,5
zebuínas,5
valorização,5
recordes,5
inauguração,5
obtendo,5
expectativas,5
égua,5
organizadora,5
Começou,5
descobriram,5
camarotes,5
peões,5
urbana,5
duração,5
7,5
lance,5
fêmea,5
automóvel,5
reduzida,5
abate,5
patamar,5
bois,5
criados,5
alimentação,5
arrobas,5
projeções,5
faltar,5
evita,5
temperatura,5
afetando,5
razoável,5
aumentaram,5
churrascarias,5
matéria-prima,5
virada,5
ameaça,5
pico,5
término,5
voltaram,5
comer,5
carnes,5
internos,5
exportador,5
queixa,5
tonelada,5
finais,5
supera,5
exigiu,5
formam,5
13ª,5
trajetória,5
variam,5
momentos,5
ocorrido,5
levados,5
leiloeiro,5
bateu,5
trouxe,5
promover,5
chamadas,5
maratona,5
negociadas,5
conformação,5
70,5
erros,5
instalar,5
citros,5
distribui,5
amostras,5
sugestões,5
balanços,5
referentes,5
laticínios,5
mineral,5
aftosa,5
buscando,5
operar,5
essencial,5
preocupar,5
instalada,5
cultivada,5
faturou,5
negociando,5
10ª,5
chave,5
tourinhos,5
produtora,5
pertence,5
tornando,5
escolher,5
horários,5
eficiência,5
operador,5
ajustar,5
folga,5
testar,5
proteína,5
faça,5
avaliado,5
inimigos,5
útil,5
imediata,5
proibida,5
segundos,5
aquisição,5
cursos,5
maturação,5
